intptlat,intptlon,NeedScore
+36.1300452,-120.2449273,53.1371476781
+36.2042510,-120.4089333,57.6990173345
+36.1571780,-120.3728944,69.025101838
+36.1419701,-120.3511622,87.7023063208
+36.6262970,-120.5773805,100
+36.8689002,-120.6584593,46.5481547349
+35.9068415,-120.0768232,91.4436853768
+35.9707414,-120.1209322,53.1371476781
+36.9542373,-120.9793353,60.7641238713
+36.7398419,-121.6216521,43.3579485828
+36.7107945,-121.6348577,51.9192621532
+36.7132772,-121.6495279,62.7114939428
+36.7123618,-121.6212411,49.7365409108
+36.7023922,-121.6435861,62.2977634136
+36.7030907,-121.6595817,58.1640480673
+36.6928894,-121.6499433,72.5171368275
+36.6758882,-121.6327942,63.6674780249
+36.6843587,-121.6342814,68.6667794192
+36.6799302,-121.6171939,86.1489679572
+36.6877621,-121.6091065,79.5796043302
+36.6846397,-121.6108778,74.768921644
+36.6748899,-121.6146898,72.8636502761
+36.6690787,-121.6261157,96.3123967188
+36.6646451,-121.6493229,37.3543307437
+36.6749131,-121.6550585,79.4224266613
+36.6706218,-121.6639509,58.5108445825
+36.6584132,-121.6725274,32.6290559529
+36.6701186,-121.6776093,33.8797766086
+36.6783432,-121.6686664,57.6302601329
+36.6893747,-121.6700284,72.0991671809
+36.6856739,-121.6550156,66.114825857
+36.8699792,-121.7710146,75.4710300705
+36.8844138,-121.6811023,20.6353381966
+36.8477738,-121.6841172,35.4265707198
+36.8191591,-121.6752959,37.2037179722
+36.7510823,-121.7175785,26.8434133989
+36.7648380,-121.7533738,63.8832663107
+36.7877533,-121.6196088,37.2788946382
+36.7321374,-121.6905387,45.295254191
+36.7291549,-121.6494211,58.74250662
+36.7243316,-121.6543450,62.9069399699
+36.7062789,-121.6133899,47.6071424909
+36.6969398,-121.6040630,43.1063335604
+36.6887234,-121.5991482,62.7219139597
+36.6852793,-121.5676557,54.8979090209
+36.6932182,-121.6143564,82.0422540461
+36.6950810,-121.6224213,61.5356054101
+36.5796828,-121.6553273,29.106095133
+36.5436798,-121.6316313,17.1971156843
+36.4987089,-121.4845160,61.7920254538
+36.4743205,-121.3770688,25.9412957005
+36.3913637,-121.6806215,33.2313934913
+36.3669665,-121.4758894,62.1467604506
+36.4618356,-121.2981690,64.9453388965
+36.3293134,-121.2400260,57.532704459
+36.3177202,-121.2447380,63.3753947994
+36.3518636,-121.2425346,73.1018843221
+36.2128108,-121.1254387,67.8591614681
+36.1770603,-121.2767662,63.6448361367
+36.2460790,-121.0176253,71.4975145994
+35.9668581,-120.9172021,57.2090035645
+36.2793666,-121.6950907,36.4090715371
+36.5409125,-121.8182716,25.799037523
+36.4997312,-121.8712670,19.548495447
+36.5294601,-121.9250324,41.2284090883
+36.5586887,-121.9210000,22.5282647404
+36.5494471,-121.9248119,14.5014108485
+36.5852187,-121.9452821,22.0686324595
+36.6034523,-121.9272708,34.3026820286
+36.6129762,-121.9252483,38.8179473133
+36.6173279,-121.9208292,36.5228528463
+36.6199026,-121.9174657,33.7610485154
+36.6228559,-121.9132892,20.991162564
+36.6262314,-121.9319044,29.7947131644
+36.6114328,-121.9042032,35.4599471179
+36.6045157,-121.9115050,0
+36.6021019,-121.8947338,42.924348796
+36.5895988,-121.9095446,23.6162796702
+36.5938492,-121.8844269,31.6092231452
+36.5815969,-121.8795948,47.8083253194
+36.5619603,-121.8048088,17.9764182572
+36.5941325,-121.8548464,46.7017433761
+36.5825013,-121.8297974,24.1854821282
+36.6033620,-121.8317468,74.3660451366
+36.6015567,-121.8432617,48.7426470064
+36.6107804,-121.8411902,76.9634792915
+36.6128974,-121.8292766,49.6709887391
+36.6190341,-121.8296872,45.8259981269
+36.6151532,-121.8487991,59.6495756903
+36.6634389,-121.8002812,89.1202819545
+36.6518615,-121.7987528,53.1371476781
+36.6605315,-121.7650065,56.3363683778
+36.5952901,-121.7876563,37.0257750503
+36.6765137,-121.7937321,42.4879408232
+36.6807321,-121.7902463,50.1090850184
+36.7252682,-121.7956088,35.5451907705
+36.7093536,-121.7716880,50.9602951132
+36.6483700,-121.6367229,58.3647393141
+36.8334157,-121.7572058,63.2478492041
+36.8010562,-121.7117029,48.7315787348
+36.5669002,-121.4025672,55.4536127569
+36.6632933,-121.6049966,53.1371476781
+36.9011737,-121.3587465,42.7048921137
+36.8258065,-121.5185645,51.580512919
+36.8617508,-121.4226302,49.3900387024
+36.8477593,-121.4054350,49.570701954
+36.8433240,-121.3793272,38.816503536
+36.8531993,-121.3840277,60.6926738667
+36.8303191,-121.3738113,46.773849664
+36.8474191,-121.4196860,74.2906021494
+36.8305138,-121.4128266,46.3397688474
